ID,name,school,subschool,descriptor,spell_level,casting_time,components,costly_components,range,area,effect,targets,duration,dismissible,shapeable,saving_throw,spell_resistence,description,description_formated,,full_text,verbal,somatic,material,focus,divine_focus,sor,wiz,cleric,druid,ranger,bard,paladin,alchemist,summoner,witch,inquisitor,oracle,antipaladin,magus,deity,SLA_Level,domain,short_description,majorcaster_cost_mult,powercaster_cost_mult,caster_cost_mult,minorcaster_cost_mult,best_spell_cost,material_cost,scroll_cost,potion_cost,wand_cost,URL
616,Wall of Stone,Conjuration,Creation,earth,"cleric 5, druid 6, sorcerer/wizard 5, summoner 4, magus 5",1 standard action,"V, S, M/DF (a small block of granite)",0,Medium (100 ft. + 10 ft./level),NULL,Stone wall whose area is up to one 5-ft. square/level (S),NULL,Instantaneous,0,0,See text,No,This spell creates a wall of rock that merges into adjoining rock surfaces. A wall of stone is 1 inch thick per four caster levels and composed of up to one 5-foot square per level. You can double the wall's area by halving its thickness. The wall cannot ,<p>This spell creates a wall of rock that merges into adjoining rock surfaces. A <i>wall of stone</i> is 1 inch thick per four caster levels and composed of up to one 5-foot square per level. You can double the wall's area by halving its thickness. The wa,PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Wall of Stone</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (creation) [earth]; <b>Level </b>cleric 5, druid 6, sorcerer/wizard 5, summoner 4, magu",1,1,1,0,1,5,5,5,6,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,5,NULL,5,earth,Creates a stone wall that can be shaped.,45,50,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/w/wall-of-stone
617,Agonize,Evocation,NULL,evil,"cleric 3, sorcerer/wizard 4",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One conjured outsider or elemental (see text),1 full round,0,0,Fortitude negates,Yes,"You afflict a creature you have conjured via planar ally (or a similar spell) with bolts of vicious energy. These foul energies inflict terrible pain upon the summoned creature, torturing it to make it more pliant to your will. The targeted creature must ","<p>You afflict a creature you have conjured via <i>planar ally</i> (or a similar spell) with bolts of vicious energy. These foul energies inflict terrible pain upon the summoned creature, torturing it to make it more pliant to your will. The targeted crea",Book of the Dammed V1,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Agonize</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [evil]; <b>Level </b>cleric 3, sorcerer/wizard 4</h5></div><hr/><div><h5><b>CASTING</b></h5></d",1,1,0,0,0,4,4,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,Pain encourages an outsider to obey you.,15,32,NULL,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/a/a/agonize
618,Hellfire Ray,Evocation,NULL,evil,"cleric 6, sorcerer/wizard 6",1 standard action,"V, S, DF/F (any unholy symbol or heretical tome)",0,Close (25 ft. + 5 ft./2 levels),NULL,Ray,NULL,Instantaneous,0,0,No (see text),Yes,"A blast of hellfire blazes from your hands. You must succeed on a ranged touch attack with the ray to deal damage to the target.  The ray deals 1d6 points of damage per caster level (maximum 15d6). Half the damage is fire damage, but the other half result","<p>A blast of hellfire blazes from your hands. You must succeed on a ranged touch attack with the ray to deal damage to the target.</p><p>The ray deals 1d6 points of damage per caster level (maximum 15d6). Half the damage is fire damage, but the other hal",Book of the Dammed V1,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Hellfire Ray</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation [evil]; <b>Level </b>cleric 6, sorcerer/wizard 6</h5></div><hr/><div><h5><b>CASTING</b></h",1,1,0,0,1,6,6,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,66,72,NULL,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/h/h/hellfire-ray
619,Malediction,Necromancy,NULL,evil,cleric 4,1 standard action,"V, S",0,Touch,NULL,NULL,1 creature touched,1 minute and instantaneous (see text),0,0,Will negates,Yes,"Channeling the blasphemy of the Pit into your hand, you mark your target with a brief but fundamental corruption, causing its soul to be irretrievably damned to Hell should it die within the next minute. Those killed while under the effect of this spell c","<p>Channeling the blasphemy of the Pit into your hand, you mark your target with a brief but fundamental corruption, causing its soul to be irretrievably damned to Hell should it die within the next minute. Those killed while under the effect of this spel",Book of the Dammed V1,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Malediction</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy [evil]; <b>Level </b>cleric 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><,1,1,0,0,0,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,28,NULL,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/m/m/malediction
620,Sacrifice,Enchantment,Charm,mind-affecting,"cleric 4, sorcerer/wizard 4",1 minute,"V, S, M (see text)",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One summoned outsider or elemental (see text),"Instantaneous, 1 hour, or 1 day (see text)",0,0,None,No,"You make a sacrifice to aid in conjuring and commanding a creature called with planar ally, planar binding, or a similar spell. A sacrifice can be used in a variety of ways: Bargain: Making a sacrifice directly to the conjured being grants you a bonus on ","<p>You make a sacrifice to aid in conjuring and commanding a creature called with <i>planar ally</i>, <i>planar binding</i>, or a similar spell. A sacrifice can be used in a variety of ways: <i>Bargain:</i> Making a sacrifice directly to the conjured bein",Book of the Dammed V1,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Sacrifice</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (charm) [mind-affecting]; <b>Level </b>cleric 4, sorcerer/wizard 4</h5></div><hr/><div><h5>",1,1,1,0,0,4,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,28,32,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/s/s/sacrifice
621,Vision of Hell (2),Illusion,Glamer,evil,"bard 3, cleric 3, sorcerer/wizard 3",1 standard action,"V, M (a pinch of brimstone)",0,Medium (100 ft. + 10 ft./level),NULL,One 50-ft.-radius emanation,NULL,1 minute/level,1,0,Will negates,No,"You overlay a realistic illusion of a terrifying hellscape upon an area. Structures, equipment, and creatures within the area are not hidden, though environmental features take on an infernal appearance. While you are prepared for these images and are not","<p>You overlay a realistic illusion of a terrifying hellscape upon an area. Structures, equipment, and creatures within the area are not hidden, though environmental features take on an infernal appearance. While you are prepared for these images and are ",Book of the Dammed V1,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Vision of Hell</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (glamer) [evil]; <b>Level </b>bard 3, cleric 3, sorcerer/wizard 3</h5></div><hr/><div><h5",1,0,1,0,0,3,3,3,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,Illusory hellscape makes creatures shaken.,15,18,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/v/v/vision-of-hell
622,Vision of Hell (1),Illusion,Glamer,"evil, fear","bard 3, cleric 3, sorcerer/wizard 3, witch 3",1 standard action,"V, M (a pinch of brimstone)",0,Medium (100 ft. + 10 ft./level),NULL,50-ft.-radius emanation,NULL,1 minute/level (D),1,0,Will negates,No,"You overlay a realistic illusion of a terrifying hellscape upon an area. Structures, equipment, and creatures within the area are not hidden, though environmental features take on an infernal appearance. While you are prepared for these images and are not","<p>You overlay a realistic illusion of a terrifying hellscape upon an area. Structures, equipment, and creatures within the area are not hidden, though environmental features take on an infernal appearance. While you are prepared for these images and are ",Ultimate Magic,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Vision of Hell</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (glamer) [evil, fear]; <b>Level </b>bard 3, cleric 3, sorcerer/wizard 3, witch 3</h5></di",1,0,1,0,0,3,3,3,NULL,NULL,3,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,3,NULL,Illusory hellscape makes creatures shaken.,15,18,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/v/vision-of-hell
623,Aura of the Unremarkable,Enchantment,Compulsion,mind-affecting,"bard 3, sorcerer/wizard 4",1 full round,"V, S, M (a white feather)",0,30 ft.,NULL,NULL,Non-allied creatures within a 30-ft. emanation,1 minute/level  and instantaneous,1,0,Will negates,Yes,"An invisible sphere of magic surrounds you, clouding the minds of creatures in the area so they regard even the strangest actions as innocuous. For example, if you and your allies are beating a city guard for information, creatures within the area do not ","<p>An invisible sphere of magic surrounds you, clouding the minds of creatures in the area so they regard even the strangest actions as innocuous. For example, if you and your allies are beating a city guard for information, creatures within the area do n",Cheliax Empire Of Devils,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Aura of the Unremarkable</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 3, sorcerer/wizard 4</h5></",1,1,1,0,0,4,4,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,28,32,15,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/a/a/aura-of-the-unremarkable
624,Burning Disarm,Transmutation,NULL,fire,"cleric 1, druid 1, sorcerer/wizard 1",1 standard action,"V, S",0,Short (25 ft. + 5 ft./2 levels),NULL,NULL,Held metal item of one creature or 15 lbs. of unattended metal,Instantaneous,0,0,"Reflex negates (object, see text)",Yes (object),"This spell causes a metal object to instantly become red hot.  A creature holding the item may attempt a Reflex save to drop it and take no damage (even if it is not their turn), otherwise the hot metal deals 1d4 points of fire damage per caster level (ma","<p>This spell causes a metal object to instantly become red hot.</p><p>A creature holding the item may attempt a Reflex save to drop it and take no damage (even if it is not their turn), otherwise the hot metal deals 1d4 points of fire damage per caster l",Cheliax Empire Of Devils,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Burning Disarm</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (fire); <b>Level </b>cleric 1, druid 1, sorcerer/wizard 1</h5></div><hr/><div><h5><b",1,1,0,0,0,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,1,1,NULL,NULL,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/b/b/burning-disarm
625,Dirge of the Victorious Knights,Illusion,Shadow,NULL,bard 6,1 full round,"V, S, F (a medal from a dead Hellknight or a copy of a Chelish opera script, either worth at least 100 gp)",1,120 ft.,NULL,"120-ft. line, 10 ft. wide",NULL,Instantaneous,0,0,Reflex half,Yes,"By performing part of the Chelish opera Victory of the Hellknights, you call forth spectral illusions of mounted Hellknights to trample your foes under the hooves of their glorious steeds. The shadowy knights appear in your square and ride forward in the ","<p>By performing part of the Chelish opera <i>Victory of the Hellknights</i>, you call forth spectral illusions of mounted Hellknights to trample your foes under the hooves of their glorious steeds. The shadowy knights appear in your square and ride forwa",Inner Sea World Guide,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Dirge of the Victorious Knights</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (shadow); <b>Level </b>bard 6</h5></div><hr/><div><h5><b>CASTING</b></h5,1,1,0,0,0,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,66,NULL,66,NULL,1650,3300,49500,http://www.d20pfsrd.com/magic/all-spells/d/dirge-of-the-victorious-knights
626,Dweomer Retaliation,Abjuration,NULL,NULL,sorcerer/wizard 3,1 immediate action,V,0,Long (400 ft. + 40 ft./level),NULL,NULL,One creature you counterspelled since your last turn,Instantaneous,0,0,None,Yes,"You may only cast this spell immediately after successfully counterspelling an opponent. Drawing upon the residual energy of the countered spells, you gain a number of temporary hit points equal to the level of the countered spell plus your Charisma or In","<p>You may only cast this spell immediately after successfully counterspelling an opponent. Drawing upon the residual energy of the countered spells, you gain a number of temporary hit points equal to the level of the countered spell plus your Charisma or",Cheliax Empire Of Devils,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Dweomer Retaliation</p><div style=`clear: both;`></div></div><div><h5><b>School </b>abjuration; <b>Level </b>sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><,1,0,0,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,15,18,NULL,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/d/d/dweomer-retaliation
627,Emergency Force Sphere,Evocation,NULL,force,sorcerer/wizard 4,1 immediate action,V,0,5 ft.,NULL,5-ft.-radius hemisphere of force centered on you,NULL,1 round/level,1,0,None,No,"As wall of force, except you create a hemispherical dome of force with hardness 20 and a number of hit points equal to 10 per caster level. The bottom edge of the dome forms a relatively watertight space if you are standing on a reasonably flat surface. T","<p>As <i>wall of force</i>, except you create a hemispherical dome of force with hardness 20 and a number of hit points equal to 10 per caster level. The bottom edge of the dome forms a relatively watertight space if you are standing on a reasonably flat ",Cheliax Empire Of Devils,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Emergency Force Sphere</p><div style=`clear: both;`></div></div><div><h5><b>School </b>evocation (force); <b>Level </b>sorcerer/wizard 4</h5></div><hr/><div><h5><b>CASTING</b></,1,0,0,0,0,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,NULL,NULL,28,32,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/e/e/emergency-force-sphere
628,Signifer's Rally,Conjuration,Teleportation,evil,"cleric 7, sorcerer/wizard 7",1 standard action,"V, S, M (100 gp worth of bloodstone for every ally teleported)",1,Medium (100 ft. + 10 ft./level),NULL,NULL,One willing ally/5 levels,Instantaneous,0,0,Will negates (harmless),Yes (harmless),"You teleport up to one ally per five caster levels to your location.  You determine which allies you want to teleport at the time of casting; these allies have 1 round to decide to allow or refuse your spell, and they teleport immediately upon accepting. ","<p>You <i>teleport</i> up to one ally per five caster levels to your location.</p><p>You determine which allies you want to <i>teleport</i> at the time of casting; these allies have 1 round to decide to allow or refuse your spell, and they <i>teleport</i>",Cheliax Empire Of Devils,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Signifer's Rally</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (teleportation) [evil]; <b>Level </b>cleric 7, sorcerer/wizard 7</h5></div><hr/><div",1,1,1,0,0,7,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,91,98,NULL,NULL,91,100,2375,4650,73250,http://www.d20pfsrd.com/magic/all-spells/s/s/signifier-s-rally
629,Twine Double,Illusion,Shadow,NULL,sorcerer/wizard 3,10 minutes,"V, S, M (cloth and twine)",0,0 ft.,NULL,One duplicate creature,NULL,1 minute/level,1,0,None,No,"As simulacrum, except you can only duplicate yourself, and the duplicate is created from cloth and twine rather than ice and snow. The double looks exactly like you except its eyes are balls of twine (DC 10 Perception check to recognize double's strange e","<p>As <i>simulacrum,</i> except you can only duplicate yourself, and the duplicate is created from cloth and twine rather than ice and snow. The double looks exactly like you except its eyes are balls of twine (DC 10 Perception check to recognize double's",Cheliax Empire Of Devils,<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Twine Double</p><div style=`clear: both;`></div></div><div><h5><b>School </b>illusion (shadow); <b>Level </b>sorcerer/wizard 3</h5></div><hr/><div><h5><b>CASTING</b></h5></div><,1,1,1,0,0,3,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,15,18,NULL,NULL,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/t/t/twine-double
630,Fear,Necromancy,NULL,"fear, mind-affecting, emotion","bard 3, sorcerer/wizard 4, witch 4, inquisitor 4, antipaladin 4",1 standard action,"V, S, M (the heart of a hen or a white feather)",0,30 ft.,Cone-shaped burst,NULL,NULL,1 round/level or 1 round; see text,0,0,Will partial,Yes,"An invisible cone of terror causes each living creature in the area to become panicked unless it succeeds on a Will save. If cornered, a panicked creature begins cowering. If the Will save succeeds, the creature is shaken for 1 round.","<p>An invisible cone of terror causes each living creature in the area to become panicked unless it succeeds on a Will save. If cornered, a panicked creature begins cowering. If the Will save succeeds, the creature is shaken for 1 round.</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Fear</p><div style=`clear: both;`></div></div><div><h5><b>School </b>necromancy [fear, mind-affecting, emotion]; <b>Level </b>bard 3, sorcerer/wizard 4, witch 4, inquisitor 4, a",1,1,1,0,0,4,4,NULL,NULL,NULL,3,NULL,NULL,NULL,4,4,NULL,4,NULL,NULL,4,NULL,Subjects within cone flee for 1 round/level.,28,32,15,40,15,NULL,375,750,11250,http://www.d20pfsrd.com/magic/all-spells/f/fear
631,Hold Animal,Enchantment,Compulsion,mind-affecting,"druid 2, ranger 2",1 standard action,"V, S",0,Medium (100 ft. + 10 ft./level),NULL,NULL,One animal,1 round/level ; see text,1,0,Will negates; see text,Yes,"This spell functions like hold person, except that it affects an animal instead of a humanoid.","<p>This spell functions like <i>hold person,</i> except that it affects an animal instead of a humanoid.</p>",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Hold Animal</p><div style=`clear: both;`></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>druid 2, ranger 2</h5></div><hr/><div><h5><b>",1,1,0,0,0,NULL,NULL,NULL,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,animal,Paralyzes one animal for 1 round/level.,6,NULL,NULL,8,6,NULL,150,300,4500,http://www.d20pfsrd.com/magic/all-spells/h/hold-animal
632,Insect Plague,Conjuration,Summoning,NULL,"cleric 5, druid 5, summoner 4",1 round,"V, S, DF",0,Long (400 ft. + 40 ft./level),NULL,"One swarm of wasps per three levels, each of which must be adjacent to at least one other swarm",NULL,1 min./level,0,0,None,No,"You summon a number of swarms of wasps (one per three levels, to a maximum of six swarms at 18th level, see the Pathfinder RPG Bestiary). The swarms must be summoned so that each one is adjacent to at least one other swarm (that is, the swarms must fill o","<p>You summon a number of swarms of wasps (one per three levels, to a maximum of six swarms at 18th level, see the <i>Pathfinder RPG Bestiary</i>). The swarms must be summoned so that each one is adjacent to at least one other swarm (that is, the swarms m",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Insect Plague</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning); <b>Level </b>cleric 5, druid 5, summoner 4</h5></div><hr/><div><h5><b>CAST",1,1,0,0,1,NULL,NULL,5,5,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,Wasp swarms attack creatures.,45,NULL,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/i/insect-plague
633,Baleful Polymorph,Transmutation,Polymorph,NULL,"druid 5, sorcerer/wizard 5, summoner 4, witch 5, magus 5",1 standard action,"V, S",0,Close (25 ft. + 5 ft./2 levels),NULL,NULL,One creature,Permanent,0,0,"Fortitude negates, Will partial; see text",Yes,"As beast shape III, except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature, such as an aquatic creature not in water, the subject gets a +4 bonus on the save.  If the spell","<p>As <i>beast shape</i> <i>III,</i> except that you change the subject into a Small or smaller animal of no more than 1 HD. If the new form would prove fatal to the creature, such as an aquatic creature not in water, the subject gets a +4 bonus on the sa",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Baleful Polymorph</p><div style=`clear: both;`></div></div><div><h5><b>School </b>transmutation (polymorph); <b>Level </b>druid 5, sorcerer/wizard 5, summoner 4, witch 5, magus ",1,1,0,0,0,5,5,NULL,5,NULL,NULL,NULL,NULL,4,5,NULL,NULL,NULL,5,NULL,5,NULL,Transforms subject into harmless animal.,45,50,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/b/baleful-polymorph
634,Prying Eyes,Divination,NULL,NULL,"sorcerer/wizard 5, witch 5",1 minute,"V, S, M (a handful of crystal marbles)",0,1 mile,NULL,10 or more levitating eyes,NULL,1 hour/level; see text,1,0,None,No,"You create a number of semitangible, visible magical orbs (called `eyes`) equal to 1d4 + your caster level. These eyes move out, scout around, and return as you direct them when casting the spell. Each eye can see 120 feet (normal vision only) in all dire","<p>You create a number of semitangible, visible magical orbs (called `eyes`) equal to 1d4 + your caster level. These eyes move out, scout around, and return as you direct them when casting the spell. Each eye can see 120 feet (normal vision only) in all d",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Prying Eyes</p><div style=`clear: both;`></div></div><div><h5><b>School </b>divination; <b>Level </b>sorcerer/wizard 5, witch 5</h5></div><hr/><div><h5><b>CASTING</b></h5></div>",1,1,1,0,0,5,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,5,NULL,1d4 + 1/level floating eyes scout for you.,45,50,NULL,NULL,45,NULL,1125,2250,33750,http://www.d20pfsrd.com/magic/all-spells/p/prying-eyes
635,Instant Summons,Conjuration,Summoning,NULL,"sorcerer/wizard 7, witch 7",1 standard action,"V, S, M (sapphire worth 1,000 gp)",1,See text,NULL,NULL,One object weighing 10 lbs. or less whose longest dimension is 6 ft. or less,Permanent until discharged,0,0,None,No,"You call some nonliving item directly to your hand from virtually any location.  First, you must place your arcane mark on the item. Then you cast this spell, which magically and invisibly inscribes the name of the item on a sapphire worth at least 1,000 ","<p>You call some nonliving item directly to your hand from virtually any location.</p><p>First, you must place your <i>arcane mark</i> on the item. Then you cast this spell, which magically and invisibly inscribes the name of the item on a sapphire worth ",PFRPG Core,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Instant Summons</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (summoning); <b>Level </b>sorcerer/wizard 7, witch 7</h5></div><hr/><div><h5><b>CASTI",1,1,1,0,0,7,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,7,"artifice, rune",Prepared object appears in your hand.,91,98,NULL,NULL,91,1000,3275,5550,118250,http://www.d20pfsrd.com/magic/all-spells/i/instant-summons
636,Infernal Healing (2),Conjuration,Healing,evil,"cleric 1, sorcerer/wizard 1",1 round,"V, S, M (1 drop of devil blood)",0,Touch,NULL,NULL,Creature touched,1 minute,0,0,Will negates (harmless),Yes (harmless),"You touch a drop of devil's blood to a wounded creature, giving it fast healing 1. This ability cannot repair damage caused by silver weapons, good-aligned weapons, or spells or effects with the good descriptor. The target detects as an evil creature for ","<p>You touch a drop of devil's blood to a wounded creature, giving it fast healing 1. This ability cannot repair damage caused by silver weapons, good-aligned weapons, or spells or effects with the good descriptor. The target detects as an evil creature f",AP 29,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Infernal Healing</p><div style=`clear: both;`></div></div><div><h5><b>School </b>Conjuration (healing) [evil]; <b>Level </b>cleric 1, sorcerer/wizard 1 (Asmodeus)</h5></div><hr/",1,1,1,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Asmodeus,1,NULL,NULL,1,1,NULL,NULL,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/i/i/infernal-healing
637,Infernal Healing (1),Conjuration,Healing,evil,"cleric 1, magus 1, sorcerer/wizard 1, summoner 1, witch 1",1 round,"V, S, M (1 drop of devil blood or 1 dose of unholy water)",0,Touch,NULL,NULL,Creature touched,1 minute,0,0,Will negates (harmless),Yes (harmless),"You anoint a wounded creature with devil's blood or unholy water, giving it fast healing 1. This ability cannot repair damage caused by silver weapons, good-aligned weapons, or spells or effects with the good descriptor. The target detects as an evil crea","<p>You anoint a wounded creature with devil's blood or unholy water, giving it fast healing 1. This ability cannot repair damage caused by silver weapons, good-aligned weapons, or spells or effects with the good descriptor. The target detects as an evil c",Inner Sea World Guide,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Infernal Healing</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing) [evil]; <b>Level </b>cleric 1, magus 1, sorcerer/wizard 1, summoner 1, wit",1,1,1,0,0,1,1,1,NULL,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,1,NULL,NULL,1,1,1,NULL,1,NULL,25,50,750,http://www.d20pfsrd.com/magic/all-spells/i/infernal-healing
638,"Infernal Healing, Greater (2)",Conjuration,Healing,evil,"cleric 4, sorcerer/wizard 4",1 round,"V, S, M (1 drop of devil blood)",0,Touch,NULL,NULL,Creature touched,1 minute,0,0,Will negates (harmless),Yes (harmless),"As infernal healing, except the target gains fast healing 4 and the target detects as an evil cleric.","<p>As <i>infernal healing</i>, except the target gains fast healing 4 and the target detects as an evil cleric.</p>",AP 29,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Infernal Healing, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing) [evil]; <b>Level </b>cleric 4, sorcerer/wizard 4 (Asmodeus)</h5><",1,1,1,0,0,4,4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Asmodeus,4,NULL,NULL,28,32,NULL,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/i/i/infernal-healing
639,"Infernal Healing, Greater (1)",Conjuration,Healing,evil,"cleric 4, magus 4, sorcerer/wizard 4, summoner 4, witch 4",1 round,"V, S, M (1 drop of devil blood or 1 dose of unholy water)",0,Touch,NULL,NULL,Creature touched,1 minute,0,0,Will negates (harmless),Yes (harmless),"As infernal healing, except the target gains fast healing 4 and the target detects as an evil cleric.","<p>As <i>infernal healing</i>, except the target gains fast healing 4 and the target detects as an evil cleric.</p>",Inner Sea World Guide,"<link rel=`stylesheet`href=`PF.css`><div class=`heading`><p class=`alignleft`>Infernal Healing, Greater</p><div style=`clear: both;`></div></div><div><h5><b>School </b>conjuration (healing) [evil]; <b>Level </b>cleric 4, magus 4, sorcerer/wizard 4, summon",1,1,1,0,0,4,4,4,NULL,NULL,NULL,NULL,NULL,4,4,NULL,NULL,NULL,4,NULL,4,NULL,NULL,28,32,28,NULL,28,NULL,700,1400,21000,http://www.d20pfsrd.com/magic/all-spells/i/infernal-healing
